INDEX BOND_ID_2 BOND_ID_1 R_2 R_1 MEAN_R MEAN_I STD
437 2 2 11 4 0.14838244 0.00000000 0.19020221
438 2 2 11 5 -0.14942216 -0.00000000 0.13336938
439 2 2 11 6 0.32160829 -0.00000000 0.33885413
440 2 2 11 7 0.19226032 -0.00000000 0.21598567
441 2 2 11 8 0.66863252 -0.00000000 0.65666960
442 2 2 11 9 -0.60165024 0.00000000 0.71012997
443 2 2 11 10 -0.26183448 0.00000000 0.28974546
444 2 2 11 11 2.80913947 -0.00000000 0.94346127
445 2 2 11 12 0.03617648 0.00000000 0.03358993
446 2 2 11 13 0.17919117 0.00000000 0.18295381
447 2 2 11 14 -0.04370947 0.00000000 0.08469874
448 2 2 11 15 0.31442148 0.00000000 0.13011445
449 2 2 12 0 -0.09380619 0.00000000 0.05145927
450 2 2 12 1 -0.00486206 -0.00000000 0.00639766
451 2 2 12 2 -0.07129699 0.00000000 0.06060415
452 2 2 12 3 0.00105223 -0.00000000 0.01877327
453 2 2 12 4 0.04047449 -0.00000000 0.04885616
454 2 2 12 5 -0.07373672 -0.00000000 0.06848224
455 2 2 12 6 -0.03438293 0.00000000 0.02602327
456 2 2 12 7 0.05843721 -0.00000000 0.06445163
457 2 2 12 8 -0.37018225 0.00000000 0.37708208
458 2 2 12 9 -0.62204778 0.00000000 0.63551676
459 2 2 12 10 0.22131854 -0.00000000 0.21183958
460 2 2 12 11 0.03617648 0.00000000 0.03358993
461 2 2 12 12 1.37164579 -0.00000000 0.48219126
462 2 2 12 13 0.32118348 0.00000000 0.30019099
463 2 2 12 14 0.04973481 -0.00000000 0.04559521
464 2 2 12 15 0.11086025 -0.00000000 0.10456190
465 2 2 13 0 -0.17452649 0.00000000 0.16776969
466 2 2 13 1 -0.14184178 -0.00000000 0.13952631
467 2 2 13 2 -0.16209677 0.00000000 0.15070664
468 2 2 13 3 -0.28340888 -0.00000000 0.28647584
469 2 2 13 4 0.13816810 0.00000000 0.13886020
470 2 2 13 5 -0.42323390 -0.00000000 0.42219962
471 2 2 13 6 -0.01975133 0.00000000 0.01968887
472 2 2 13 7 -0.10531065 0.00000000 0.10516064
473 2 2 13 8 -1.32854989 0.00000000 1.32909568
474 2 2 13 9 -2.30008029 -0.00000000 2.29889367
475 2 2 13 10 -0.11757767 -0.00000000 0.11712620
476 2 2 13 11 0.17919117 0.00000000 0.18295381
477 2 2 13 12 0.26130510 0.00000000 0.26300559
478 2 2 13 13 3.28361422 0.00000000 3.23355545
479 2 2 13 14 -0.01600561 -0.00000000 0.01611756
480 2 2 13 15 0.29080530 0.00000000 0.28013806
