INDEX BOND_ID_2 BOND_ID_1 K_2 K_1 MEAN_R MEAN_I STD
400 2 2 8 15 -1.04141329 3.15866997 2.75653966
401 2 2 9 0 -1.96311809 -4.36406711 3.89909914
402 2 2 9 1 -6.20053466 -6.53701559 6.86173579
403 2 2 9 2 7.41040547 -1.92326699 9.27073746
404 2 2 9 3 -5.20244055 -0.82117175 8.72327338
405 2 2 9 4 0.11278318 -9.38104343 5.26395776
406 2 2 9 5 2.91282237 7.74719926 6.70297795
407 2 2 9 6 0.25653435 -10.02505667 10.43223924
408 2 2 9 7 39.51846821 0.33425945 12.09284046
409 2 2 9 8 0.59276405 1.59584069 2.98767202
410 2 2 9 9 0.22903345 2.61333920 5.07932202
411 2 2 9 10 -1.27344496 2.43443026 4.29255286
412 2 2 9 11 -0.14167444 2.01935871 5.47146012
413 2 2 9 12 -4.18879577 1.10821981 3.47122753
414 2 2 9 13 2.60380831 0.10001689 7.48274867
415 2 2 9 14 -0.86124126 5.53538205 5.42422028
416 2 2 9 15 -4.68584364 2.69259088 5.05059941
417 2 2 10 0 -4.61233019 3.41216106 5.17833296
418 2 2 10 1 5.69570903 -10.64318510 10.94257282
419 2 2 10 2 2.32530079 8.32435996 14.57630906
420 2 2 10 3 -4.87179708 -12.71925233 9.03101273
421 2 2 10 4 7.56054810 7.52116472 7.19121677
422 2 2 10 5 -5.67651248 -4.67144746 8.79702376
423 2 2 10 6 40.07154810 0.36179982 13.29064440
424 2 2 10 7 0.07274618 10.31914669 10.60911074
425 2 2 10 8 2.42038317 0.89088950 3.11072379
426 2 2 10 9 -1.15201492 2.31674070 4.43349173
427 2 2 10 10 -2.21710279 5.30276177 3.22671282
428 2 2 10 11 0.73371377 -3.19583577 6.16936480
429 2 2 10 12 0.14573669 0.55166767 4.69678834
430 2 2 10 13 2.17531870 5.18194999 5.15176314
431 2 2 10 14 -7.66326948 4.78056166 9.47977614
432 2 2 10 15 -2.59345643 -5.69375866 6.31977949
433 2 2 11 0 -4.31719263 -1.97899499 3.83029664
434 2 2 11 1 -0.14664963 3.65537569 11.33130014
435 2 2 11 2 -9.71308084 -8.52924687 9.67648316
436 2 2 11 3 5.70292580 1.70125127 3.86356942
437 2 2 11 4 -4.84358428 -5.00794730 8.91055116
438 2 2 11 5 42.00419937 0.13845480 14.64794601
439 2 2 11 6 -5.85662286 4.85221173 9.00489018
440 2 2 11 7 2.69617086 -7.25538914 6.64852735
441 2 2 11 8 -3.26398978 4.56180445 4.57782525
442 2 2 11 9 0.22452349 1.44012814 5.81545273
443 2 2 11 10 0.91155923 -3.21155044 6.17719807
444 2 2 11 11 -4.25532897 5.19600454 4.36806191
445 2 2 11 12 -4.19264660 2.68154498 4.49218626
446 2 2 11 13 -3.43719976 0.18456863 3.60457556
447 2 2 11 14 -5.26070424 -10.29469690 10.62745768
448 2 2 11 15 9.03112081 2.63009629 12.85499117
449 2 2 12 0 3.63101628 -7.68058085 4.96771426
450 2 2 12 1 -2.42673590 -9.23412507 5.61683322
451 2 2 12 2 8.07721936 5.60479486 6.28693154
452 2 2 12 3 -3.97036838 -4.97360018 8.45823120
453 2 2 12 4 36.69758281 -0.00000000 8.90667328
454 2 2 12 5 -4.97684380 5.00483343 8.92809698
455 2 2 12 6 7.28768120 -6.87435805 7.08927662
456 2 2 12 7 0.43183677 9.30715654 5.01146040
457 2 2 12 8 1.98635257 2.85755921 5.05115338
458 2 2 12 9 -3.80070947 1.11840069 3.23743584
459 2 2 12 10 0.41860359 0.45059482 4.72473257
460 2 2 12 11 -4.35229402 2.71325313 4.60032683
461 2 2 12 12 -2.67818948 -3.90327143 4.36273686
462 2 2 12 13 1.22589141 -0.72442287 4.09994568
463 2 2 12 14 -0.73375814 2.31572814 5.09184166
464 2 2 12 15 -3.93961369 1.18075840 5.29149225
465 2 2 13 0 -1.36694062 -5.78470432 3.81107010
466 2 2 13 1 5.05813461 10.62133812 6.96804062
467 2 2 13 2 -6.88933554 -8.66451354 12.97318334
468 2 2 13 3 40.44773670 0.13845480 11.67809935
469 2 2 13 4 -4.10362790 4.97048632 8.47824614
470 2 2 13 5 5.41215075 -0.99925819 3.82513508
471 2 2 13 6 -4.59242366 12.84107162 8.96009713
472 2 2 13 7 -5.26378904 0.36821396 8.99247577
473 2 2 13 8 -1.66578160 2.29485491 2.65526320
474 2 2 13 9 3.10476633 -0.09454963 7.55406192
475 2 2 13 10 1.84322801 5.22738670 5.30865813
476 2 2 13 11 -4.10571866 0.18456863 3.85215531
